Verb,Date,Time,Country
add,weekend evening,14:00,Anguilla
create,coming weekend,02:00 AM,Singapore
reserve,2024-07-04,midnight,Nicaragua
hold,coming weekend,14:00,Argentina
create,this Saturday,weekend evening,Guam
arrange,2024-07-06,late evening,St Vincent
schedule,this Wednesday,09:00,Japan
set up,next morning,noon,Reunion
add,next morning,11:00 PM,Maldives
schedule,tomorrow,06:00,Switzerland
book,2nd August,morning,Mauritius
organize,2024-06-15,late evening,Lesotho
fix,2024-06-15,21:00,Japan
add,this evening,02:00 AM,Guernsey
schedule,2nd August,18:45,Bahamas
arrange,2024-06-26,noon,Mauritania
plan,the day after tomorrow,weekend evening,French West Indies
hold,2024-07-02,18:45,Panama
schedule,the day after tomorrow,weekend evening,Iran
fix,next Monday,14:00,Hungary
schedule,2024-06-22,23:59,St. Lucia
arrange,first Monday of July,noon,Morocco
set up,2024-06-30,weekend evening,Armenia
arrange,next Thursday,23:59,Seychelles
fix,2024-07-07,03:15 PM,Algeria
add,tomorrow,afternoon,Iceland
organize,2024-07-07,09:00 AM,Kazakhstan
fix,2024-06-15,evening,Poland
book,2024-07-06,09:00,Monaco
book,2024-07-06,11:00 PM,Sierra Leone
organize,2024-07-07,11:00 PM,Liberia
book,2024-07-10,18:45,Yemen
hold,2nd August,08:45,Kyrgyz Republic
reserve,tomorrow,18:45,Togo
create,next month,02:00 AM,Liechtenstein
plan,coming weekend,23:59,Faroe Islands
book,2024-07-02,weekend evening,Algeria
reserve,2024-07-05,11:00 PM,Samoa
schedule,next year,12:00,New Zealand
schedule,this Wednesday,16:20,Gabon
organize,2024-07-11,18:45,Poland
plan,2024-07-11,morning,Bangladesh
book,2024-06-23,evening,Guernsey
arrange,2024-07-07,16:20,Fiji
reserve,2024-06-26,late evening,Albania
create,2024-07-04,midnight,Saint Pierre &amp; Miquelon
fix,2024-07-07,afternoon,Jordan
set up,2024-07-07,noon,France
book,2024-06-23,21:00,Saudi Arabia
book,2024-06-29,10:00,Italy
schedule,2024-07-11,14:00,Guatemala
arrange,2024-07-02,morning,Macedonia
book,2024-07-02,afternoon,British Virgin Islands
organize,next year,06:00,Bahrain
hold,2nd August,evening,Gambia
set up,2024-07-04,06:00,Lithuania
create,2024-07-02,09:00 AM,Finland
add,2024-07-07,noon,Nicaragua
organize,2024-06-22,02:00 AM,Monaco
create,next Thursday,12:00,Tanzania
plan,2024-07-05,21:00,Malta
schedule,2024-06-15,noon,Denmark
hold,weekend evening,09:00,Pakistan
fix,next Sunday,12:00,Kyrgyz Republic
add,weekend evening,16:20,Malaysia
schedule,next morning,12:00,South Africa
create,next Friday,02:00 AM,Finland
create,next Friday,07:30,Costa Rica
set up,this afternoon,midnight,Thailand
add,next Friday,07:30,Estonia
create,2024-06-30,11:00 PM,Nepal
create,2024-07-04,02:00 AM,New Caledonia
fix,weekend evening,18:45,Oman
set up,next year,08:45,Cruise Ship
book,2024-06-15,18:45,Namibia
hold,next month,08:45,Botswana
hold,2024-07-10,afternoon,Costa Rica
plan,coming weekend,21:00,Iran
add,next Monday,evening,Guinea Bissau
plan,this Saturday,09:00 AM,Nigeria
fix,2024-06-15,03:15 PM,South Africa
hold,2024-06-22,06:00,Palestine
hold,2024-07-10,18:45,Belize
plan,next Sunday,late evening,Liechtenstein
add,2024-07-05,07:30,Kenya
create,weekend evening,09:00,Puerto Rico
organize,this afternoon,afternoon,Guatemala
organize,2024-07-04,late evening,Poland
organize,2024-07-04,early morning,Thailand
reserve,2024-07-06,14:00,Burkina Faso
book,2nd August,11:00 PM,Ethiopia
organize,2024-07-02,weekend evening,Lebanon
fix,the day after tomorrow,11:00 PM,Turkey
add,2024-06-23,23:59,Barbados
