Verb,Date,Time,Country
book,2024-07-07,10:30 PM,Guyana
arrange,first Monday of July,noon,Hong Kong
create,the day after tomorrow,09:00 AM,Montserrat
plan,2024-06-15,23:59,Falkland Islands
schedule,2024-06-15,21:00,Oman
create,this Friday,11:00 PM,Guatemala
organize,2024-06-15,23:59,Cook Islands
fix,coming weekend,09:00,Luxembourg
reserve,next Thursday,08:45,Belgium
schedule,tomorrow,07:30,Pakistan
hold,next Thursday,late evening,Saint Pierre &amp; Miquelon
organize,this Friday,weekend evening,Ethiopia
hold,this Saturday,09:00 AM,Andorra
book,next morning,midnight,Rwanda
create,weekend evening,23:59,Colombia
reserve,2024-07-10,04:00,Madagascar
organize,this Friday,07:30,Uruguay
book,this Wednesday,08:45,Maldives
arrange,2024-06-15,midnight,Antigua &amp; Barbuda
schedule,2nd August,23:59,France
set up,2024-06-30,10:00,Saint Pierre &amp; Miquelon
book,this Friday,afternoon,Grenada
book,next month,noon,Antigua &amp; Barbuda
schedule,next year,18:45,Yemen
book,2024-07-06,12:00,Burkina Faso
add,2024-06-21,midnight,Aruba
add,next year,12:00,Latvia
arrange,2024-06-24,09:00 AM,Macau
add,2024-06-23,10:30 PM,Puerto Rico
book,2024-06-23,21:00,Suriname
create,next year,07:30,Faroe Islands
schedule,next Monday,23:59,Fiji
add,2024-06-24,04:00,Greece
hold,2024-06-23,16:20,Macau
hold,2024-06-30,03:15 PM,St Kitts &amp; Nevis
organize,coming Friday,10:30 PM,Mali
organize,2024-06-30,02:00 AM,Bolivia
reserve,next year,midnight,Mozambique
organize,next morning,09:00 AM,Cambodia
fix,2024-06-29,23:59,Belarus
set up,2024-06-30,02:00 AM,Israel
schedule,next Friday,08:45,St Kitts &amp; Nevis
create,2nd August,06:00,Portugal
reserve,this afternoon,02:00 AM,South Korea
reserve,2024-06-30,09:00 AM,Serbia
arrange,2024-06-15,16:20,Serbia
fix,next Thursday,08:45,Switzerland
arrange,2024-06-22,10:00,Yemen
add,first Monday of July,afternoon,Slovakia
arrange,the day after tomorrow,07:30,Switzerland
hold,2024-06-23,evening,Mexico
add,2024-07-06,afternoon,Anguilla
book,this afternoon,12:00,Laos
arrange,next Sunday,03:15 PM,Netherlands Antilles
schedule,2024-06-29,10:30 PM,Madagascar
book,the day after tomorrow,weekend evening,Kyrgyz Republic
plan,this Wednesday,weekend evening,Bermuda
schedule,first Monday of July,midnight,Norway
arrange,next Monday,07:30,Tunisia
organize,next Monday,23:59,Croatia
hold,next weekend,06:00,Liechtenstein
arrange,next month,10:00,Slovenia
plan,2024-06-21,02:00 AM,Grenada
create,this evening,midnight,Turkey
create,2024-06-21,late evening,San Marino
schedule,2024-06-23,14:00,Mali
set up,next weekend,21:00,Malawi
add,next weekend,10:00,Sri Lanka
schedule,this Friday,23:59,Morocco
fix,2024-06-15,late evening,Libya
add,next Sunday,06:00,Bolivia
book,2024-06-23,weekend evening,Timor L'Este
book,next Friday,midnight,Grenada
reserve,2024-06-15,morning,Slovenia
hold,the day after tomorrow,16:20,Sweden
schedule,next morning,09:00,Tonga
add,2024-06-29,noon,Nepal
plan,this Friday,16:20,Armenia
add,2nd August,noon,Taiwan
schedule,2024-07-06,11:00 PM,Aruba
add,2024-06-29,03:15 PM,Venezuela
create,2024-07-01,14:00,Bhutan
book,2024-07-06,afternoon,Zimbabwe
hold,this Saturday,early morning,Bosnia &amp; Herzegovina
set up,2nd August,12:00,Portugal
add,2024-06-17,midnight,Qatar
add,2024-06-21,02:00 AM,Tanzania
book,first Monday of July,morning,Chad
organize,2024-06-23,23:59,Gabon
hold,2024-06-29,afternoon,Grenada
add,2024-06-21,11:00 PM,Maldives
fix,2024-06-21,09:00,Guinea
arrange,next Sunday,10:00,Algeria
set up,first Monday of July,03:15 PM,Thailand
hold,next morning,07:30,United Arab Emirates
reserve,2024-06-30,midnight,Chad
create,tomorrow,18:45,Spain
book,2024-06-23,16:20,Paraguay
